film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_lineal,nota_gemini,nota_lineal_entrenamiento,nota_lineal_cv,error_lineal_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
before-sunset,312,True,0.8578461004432677,0.8810979786292201,0.8804609408158974,0.8727453518143329,0.8782372098861788,0.865861327421291,0.8853682767584402,0.8761113473057148,0.8782815672341855,0.8660684594638692,0.8876366825367854,0.8877368073860961,8.144188,8.121624,9.126151,6.6802225,5.977217,0.006183676920936243,0.864105913711577,1.9480105482791181,1.6939753734755905,0.0,0.011949152,0.03783247,0.0,0.0,0.02682677,8.976450838416177,8.5,8.976450838416177,8.964946126938578,0.4649461269385782,9.047972120045646,0.547972120045646,8.827547273499903
bicycle-thieves,564,True,0.859851662880679,0.8846126032388557,0.8764389642928994,0.8779340128734116,0.8841809302007128,0.8717153984829138,0.8842497218099074,0.878272019642169,0.8907041226490301,0.8821128841481514,0.8895884620443391,0.9018340414621374,6.122648,8.093987,8.921121,9.665306,7.8010073,0.30331491313816683,1.834628146752306,0.4039424757833472,0.11957739114985078,0.0,0.16930881,0.23204498,0.0,0.006864176,0.022891536,9.876569747643495,9.8,9.876569747643495,10.166689004881043,0.3666890048810423,9.03122343103922,-0.7687765689607815,9.325541707753707
blade-runner,908,True,0.8604296833166322,0.8858060832841071,0.8868858327540485,0.8754780885007143,0.8879058926673116,0.8665081623902191,0.8838221065945109,0.8737902182871629,0.8828421186745237,0.8769652297438524,0.8880228548100331,0.8934865399757593,5.7096524,9.351348,6.4048414,6.954998,8.67744,0.2542128369704965,1.4209516670998399,3.54809002193338,3.5668191726345113,0.8298640442486128,0.16139759,0.13445365,0.0,0.005202996,0.11231887,8.565450129812263,8.5,8.565450129812263,8.480295870463246,-0.01970412953675371,8.533499437971592,0.03349943797159227,8.854663572560248
blue-is-the-warmest-color,421,True,0.8676092520387493,0.8893772495273767,0.8853787633780981,0.8742903998851468,0.8833431486091619,0.8744058630999767,0.8820378830860216,0.8791233684346247,0.8826406726200231,0.8713294608194151,0.8938405430359977,0.8938864474054593,8.594793,7.3774695,7.2759447,6.696094,6.2135477,0.2610349452131018,2.2101799011796306,2.1908642861515553,2.498098112501692,1.9979532779119809,0.034109585,0.2580047,0.0,0.010741656,0.04707901,8.54551200258728,8.0,8.54551200258728,8.436268257234278,0.4362682572342784,7.980931880596335,-0.019068119403664596,8.453180608811909
bojack-horseman-christmas-special-sabrinas,499,False,0.857719294180139,0.8854903150391915,0.8795916478485979,0.8665609876689664,0.8845623533172879,0.8601179128035155,0.8815171527299175,0.8714918963992002,0.8807542586626071,0.8524601608089544,0.8694617666260296,0.8839333699738969,7.214572,7.4913754,7.830541,6.9741335,5.246422,0.6007337762052819,4.017483981721695,2.398818979631124,0.4249966735523276,2.328543518111739,0.24895017,0.5252016,0.0,0.0,0.08635836,8.598331438080095,,,,,,,8.18235992298025
burning,517,False,0.8631355941022094,0.8898145530860531,0.8839676151565217,0.8773979837186922,0.8915271638432603,0.8690237377478827,0.8879313492841684,0.8766435826536829,0.8863792425404282,0.8731234633647199,0.8879659130421934,0.8976299246560813,6.831675,8.508881,6.0819206,7.709009,8.445775,0.5083835680290065,2.9454066859461365,0.6504723043673271,0.36084924943173724,1.1144838092161797,0.27323976,0.35936975,0.0,0.013329795,0.048703212,9.282921639221167,,,,,,,8.84456054524293
but-im-a-cheerleader,183,False,0.8732799026525543,0.8823842018845507,0.8777438981479041,0.8632697338705816,0.8800923185987592,0.8648578163818984,0.8731212854280277,0.8713102014640828,0.8753358840369247,0.8600742079359709,0.8873803088855291,0.8807022642083238,8.963459,2.911933,7.7941055,5.7611394,4.8365235,0.0,1.8835553912918923,4.737053098543351,2.365539851450814,4.089865175385114,0.018773802,0.27374646,0.0,0.007143669,0.17270583,6.575245160097291,,,,,,,7.620049543548696
certain-women,351,True,0.8633734696827049,0.8805670878762885,0.8820850814772095,0.8778337648055436,0.8838407414334963,0.8771208869231768,0.8835783262638003,0.8754253053181178,0.8803973662441207,0.8690095828083227,0.8877193119934653,0.8891618851900595,9.247206,9.856499,9.142629,9.087447,6.786731,0.1869302757806965,0.4113164011539592,0.18657020403514202,1.2464792116932788,0.0,0.053058498,0.12646145,0.0,0.01835202,0.0,8.991091069684222,10.0,8.991091069684222,8.823116678960652,-1.1768833210393481,9.101760536946124,-0.8982394630538764,9.577256640539128
cha-cha-real-smooth,253,True,0.8663986468867103,0.8835391991262012,0.8839990173526404,0.8670391387486318,0.8873326724859047,0.8679512803928604,0.8794748860850591,0.8722474452953167,0.8752925777490114,0.8631656782686608,0.8835469619369296,0.8916172807593206,7.455937,5.88216,8.994349,7.4241123,3.359839,0.48963059899716027,2.1530266050870646,3.3742059320643074,1.5551088743654424,0.8102652042073026,0.0865272,0.18376371,0.0,0.0,0.050574128,7.834958253603148,8.5,7.834958253603148,7.7297749439937276,-0.7702250560062724,8.123992775763286,-0.37600722423671407,8.052339540515476
chungking-express,358,False,0.8621104846069568,0.8836102898321242,0.8889209670898546,0.8771405487499762,0.8883175055525407,0.8713483337516371,0.890329091478666,0.8742811817679836,0.8811932946329923,0.8773025033307039,0.8920459102232343,0.893586589167828,7.888687,8.388861,9.002665,7.0096755,7.567181,0.16096144979775112,0.0,2.1949887208432886,2.302665459712146,0.5799423981276195,0.039788246,0.0,0.0,0.011079168,0.02135599,8.500938868058597,,,,,,,9.153702949141277
cleo-from-5-to-7,504,True,0.8599350323523238,0.8835045616553051,0.8813221705823033,0.8760991445633985,0.8793192166118186,0.8746159170779346,0.8873128489262977,0.8745079914232945,0.8820516579068982,0.8765235423248833,0.8912956693675729,0.8941562240291454,9.643442,8.860256,8.7171955,8.037537,8.763468,0.0,0.4682725313815821,0.4231056918852867,0.828159229385885,0.0,0.010180026,0.12996826,0.0,0.013909364,0.0,10.038427205313123,9.7,10.038427205313123,10.058801743694083,0.3588017436940838,9.508353536847531,-0.19164646315246792,9.702871240133343
